MSSV!HỌ!TÊN!NGÀY SINH!GIỚI TÍNH
13130002!ĐẶNG THỊ THÚY!AN!1/2/1998!NỮ
13130003!HÀ TRẦN TUẤN!ANH!1/3/1998!NAM
13130004!NGUYỄN HOÀNG!ANH!1/4/1998!NAM
13130090!NGUYỄN THỊ BÍCH!TUYỀN!17/7/1997!NỮ
13130091!TRẦN ANH!TÚ!18/7/1997!NAM
13130092!PHAN HOA!TIÊN!19/7/1997!NỮ
13130093!VÕ VĂN!VŨ!20/7/1997!NAM
13130094!NGUYỄN CHÂU!VI!21/7/1997!NỮ
13130095!LÂM TÂM!VÂN!22/7/1997!NỮ
13130096!DƯƠNG THANH!VÀNG!23/7/1997!NAM
13130097!NGUYỄN THẢO!VY!24/7/1997!NỮ
13130098!TRẦN THẢO!VY!25/7/1997!NỮ
13130099!NGUYỄN THỊ!VE!26/7/1997!NỮ
13130100!THẠCH NỮ Y!VON!27/7/1997!NỮ
13130101!BÀNH THỊ!Y!28/7/1997!NỮ
